Nextstrain_clade,new_grouping
19A,Other
19B,Other
20A,Other
20B,Other
20C,Other
20D,Other
20E (EU1),Other
20G,Other
"20H (Beta, V2)",Beta
"20I (Alpha, V1)",Alpha
"20J (Gamma, V3)",Gamma
21A (Delta),Delta
21B (Kappa),Other
21C (Epsilon),Other
21D (Eta),Other
21E (Theta),Other
21F (Iota),Other
21H (Mu),Other
21I (Delta),Delta
21J (Delta),Delta
21K (Omicron),BA.1
21L (Omicron),BA.2 (21L)
22A (Omicron),BA.4
22B (Omicron),BA.5
22C (Omicron),BA.2.12.1
22D (Omicron),BA.2.75
22E (Omicron),BQ.1
22F (Omicron),XBB
recombinant,Other
21G (Lambda),Other
